slice,name,structure,cation,theoretical m/z_x,theoretical m/z_y,min,max,num_pixels,mz_estimated
1,LPC,16:0,H1,496.33975,496.33975,496.3363000000001,496.3415,48454.0,496.3403
1,Cer,36:1,k,604.506541,604.506541,604.5045,604.5083000000001,21138.0,604.5064
1,Cer,40:2,H1,620.5976,620.5976,620.5959,620.5989000000001,22967.0,620.5975000000001
1,Cer,40:1,H1,622.61328,622.61328,622.611,622.6146,8001.0,622.613
1,Cer,38:4,k,626.490911,626.490911,626.4888000000001,626.4923,919.0,626.4906000000001
2,LPC,16:0,H1,496.33975,496.33975,496.3364,496.3413000000001,63618.0,496.3403
2,Cer,36:1,k,604.506541,604.506541,604.5045,604.5084,24479.0,604.5064
2,Cer,40:2,H1,620.5976,620.5976,620.5955,620.5991,29086.0,620.5975000000001
2,Cer,40:1,H1,622.61328,622.61328,622.6111000000001,622.6146,12170.0,622.6132
2,Cer,38:4,k,626.490911,626.490911,626.4885,626.4926,1000.0,626.4906000000001
3,LPC,16:0,H1,496.33975,496.33975,496.3382,496.3415,17726.0,496.3403
3,Cer,36:1,k,604.506541,604.506541,604.5043000000001,604.5081,4048.0,604.5064
3,Cer,40:2,H1,620.5976,620.5976,620.5955,620.5989000000001,19005.0,620.5974
3,Cer,40:1,H1,622.61328,622.61328,622.611,622.6149,5018.0,622.613
3,Cer,38:4,k,626.490911,626.490911,626.4887,626.4921,328.0,626.4906000000001
4,LPC,16:0,H1,496.33975,496.33975,496.3385,496.3422000000001,2811.0,496.3403
4,Cer,36:1,k,604.506541,604.506541,604.5046,604.508,736.0,604.5062
4,Cer,40:2,H1,620.5976,620.5976,620.5957000000001,620.5993000000001,17453.0,620.5974
4,Cer,40:1,H1,622.61328,622.61328,622.6111000000001,622.6148000000001,6271.0,622.6132
4,Cer,38:4,k,626.490911,626.490911,626.4893000000001,626.4926,200.0,626.4906000000001
5,LPC,16:0,H1,496.33975,496.33975,496.3383,496.3416,55517.0,496.3399
5,Cer,36:1,k,604.506541,604.506541,604.504,604.5081,27160.0,604.5062
5,Cer,40:2,H1,620.5976,620.5976,620.5952,620.5993000000001,37126.0,620.5972
5,Cer,40:1,H1,622.61328,622.61328,622.6109,622.6148000000001,17658.0,622.6127
5,Cer,38:4,k,626.490911,626.490911,626.4888000000001,626.4925000000001,647.0,626.4904
6,LPC,16:0,H1,496.33975,496.33975,496.3362,496.3441,72613.0,496.3399
6,Cer,36:1,k,604.506541,604.506541,604.5043000000001,604.5083000000001,37272.0,604.5062
6,Cer,40:2,H1,620.5976,620.5976,620.5955,620.5993000000001,47038.0,620.5974
6,Cer,40:1,H1,622.61328,622.61328,622.611,622.6147000000001,24733.0,622.6129000000001
6,Cer,38:4,k,626.490911,626.490911,626.4869,626.4925000000001,2069.0,626.4904
7,LPC,16:0,H1,496.33975,496.33975,496.3362,496.3442,76389.0,496.3399
7,Cer,36:1,k,604.506541,604.506541,604.5044,604.5083000000001,29646.0,604.5062
7,Cer,40:2,H1,620.5976,620.5976,620.5952,620.5991,45249.0,620.5972
7,Cer,40:1,H1,622.61328,622.61328,622.6113,622.6146,21605.0,622.6129000000001
7,Cer,38:4,k,626.490911,626.490911,626.4889000000001,626.4918,1668.0,626.4904
8,LPC,16:0,H1,496.33975,496.33975,496.3377,496.3415,60792.0,496.3399
8,Cer,36:1,k,604.506541,604.506541,604.5044,604.5085,30367.0,604.5064
8,Cer,40:2,H1,620.5976,620.5976,620.5955,620.5992,40288.0,620.5975000000001
8,Cer,40:1,H1,622.61328,622.61328,622.6109,622.6149,15032.0,622.613
8,Cer,38:4,k,626.490911,626.490911,626.4891,626.4926,533.0,626.4906000000001
9,LPC,16:0,H1,496.33975,496.33975,496.3366,496.3445,88718.0,496.3402
9,Cer,36:1,k,604.506541,604.506541,604.5043000000001,604.5083000000001,29490.0,604.5064
9,Cer,40:2,H1,620.5976,620.5976,620.5954,620.5989000000001,61160.0,620.5974
9,Cer,40:1,H1,622.61328,622.61328,622.6112,622.6149,35889.0,622.613
9,Cer,38:4,k,626.490911,626.490911,626.489,626.4919,2457.0,626.4906000000001
10,LPC,16:0,H1,496.33975,496.33975,496.336,496.3435,92086.0,496.3395
10,Cer,36:1,k,604.506541,604.506541,604.5042000000001,604.5083000000001,61950.0,604.5062
10,Cer,40:2,H1,620.5976,620.5976,620.5952,620.599,59208.0,620.5974
10,Cer,40:1,H1,622.61328,622.61328,622.6107000000001,622.6147000000001,17613.0,622.6129000000001
10,Cer,38:4,k,626.490911,626.490911,626.4887,626.4925000000001,340.0,626.4907000000001
11,LPC,16:0,H1,496.33975,496.33975,496.3364,496.3441,101734.0,496.3399
11,Cer,36:1,k,604.506541,604.506541,604.5043000000001,604.5085,30414.0,604.5064
11,Cer,40:2,H1,620.5976,620.5976,620.5953000000001,620.5991,56963.0,620.5974
11,Cer,40:1,H1,622.61328,622.61328,622.6109,622.6148000000001,31022.0,622.613
11,Cer,38:4,k,626.490911,626.490911,626.4889000000001,626.4923,945.0,626.4906000000001
12,LPC,16:0,H1,496.33975,496.33975,496.3366,496.3449,86320.0,496.3403
12,Cer,36:1,k,604.506541,604.506541,604.5042000000001,604.5085,29240.0,604.5064
12,Cer,40:2,H1,620.5976,620.5976,620.5953000000001,620.5991,57322.0,620.5974
12,Cer,40:1,H1,622.61328,622.61328,622.6108,622.6149,33284.0,622.613
12,Cer,38:4,k,626.490911,626.490911,626.4887,626.4921,1752.0,626.4904
13,LPC,16:0,H1,496.33975,496.33975,496.3366,496.3441,85092.0,496.3403
13,Cer,36:1,k,604.506541,604.506541,604.5045,604.5085,22098.0,604.5064
13,Cer,40:2,H1,620.5976,620.5976,620.5955,620.5991,49503.0,620.5974
13,Cer,40:1,H1,622.61328,622.61328,622.6109,622.6149,29665.0,622.613
13,Cer,38:4,k,626.490911,626.490911,626.4883,626.4923,1712.0,626.4904
14,LPC,16:0,H1,496.33975,496.33975,496.3368,496.3417,85835.0,496.3403
14,Cer,36:1,k,604.506541,604.506541,604.5045,604.5086,19325.0,604.5064
14,Cer,40:2,H1,620.5976,620.5976,620.5955,620.599,50291.0,620.5974
14,Cer,40:1,H1,622.61328,622.61328,622.6109,622.6151,28337.0,622.613
14,Cer,38:4,k,626.490911,626.490911,626.4892,626.4926,849.0,626.4906000000001
15,LPC,16:0,H1,496.33975,496.33975,496.3367,496.3441,94766.0,496.3403
15,Cer,36:1,k,604.506541,604.506541,604.5045,604.5084,15767.0,604.5064
15,Cer,40:2,H1,620.5976,620.5976,620.5957000000001,620.5992,45681.0,620.5974
15,Cer,40:1,H1,622.61328,622.61328,622.6109,622.6148000000001,28010.0,622.613
15,Cer,38:4,k,626.490911,626.490911,626.4887,626.4921,889.0,626.4904
16,LPC,16:0,H1,496.33975,496.33975,496.3370000000001,496.3419,74491.0,496.3399
16,Cer,36:1,k,604.506541,604.506541,604.5046,604.5088000000001,19338.0,604.5067
16,Cer,40:2,H1,620.5976,620.5976,620.5955,620.5994000000001,38101.0,620.5979
16,Cer,40:1,H1,622.61328,622.61328,622.6112,622.6154,22774.0,622.6134000000001
16,Cer,38:4,k,626.490911,626.490911,626.4888000000001,626.4929000000001,888.0,626.4906000000001
17,LPC,16:0,H1,496.33975,496.33975,496.3384,496.3419,69862.0,496.3403
17,Cer,36:1,k,604.506541,604.506541,604.5046,604.5086,10959.0,604.5065000000001
17,Cer,40:2,H1,620.5976,620.5976,620.5959,620.5994000000001,33945.0,620.5975000000001
17,Cer,40:1,H1,622.61328,622.61328,622.6113,622.6149,19397.0,622.6132
17,Cer,38:4,k,626.490911,626.490911,626.4893000000001,626.4924,824.0,626.4907000000001
18,LPC,16:0,H1,496.33975,496.33975,496.338,496.3421,55094.0,496.3403
18,Cer,36:1,k,604.506541,604.506541,604.5043000000001,604.5083000000001,13239.0,604.5064
18,Cer,40:2,H1,620.5976,620.5976,620.5953000000001,620.5996,34856.0,620.5975000000001
18,Cer,40:1,H1,622.61328,622.61328,622.6109,622.6151,20709.0,622.613
18,Cer,38:4,k,626.490911,626.490911,626.4895,626.4926,790.0,626.4907000000001
19,LPC,16:0,H1,496.33975,496.33975,496.3385,496.3415,49788.0,496.3399
19,Cer,36:1,k,604.506541,604.506541,604.5045,604.5081,5384.0,604.5064
19,Cer,40:2,H1,620.5976,620.5976,620.5957000000001,620.599,32860.0,620.5974
19,Cer,40:1,H1,622.61328,622.61328,622.6111000000001,622.6151,20154.0,622.613
19,Cer,38:4,k,626.490911,626.490911,626.4885,626.4920000000001,528.0,626.4906000000001
20,LPC,16:0,H1,496.33975,496.33975,496.3367,496.3431000000001,68688.0,496.3403
20,Cer,36:1,k,604.506541,604.506541,604.5047000000001,604.5083000000001,12024.0,604.5065000000001
20,Cer,40:2,H1,620.5976,620.5976,620.5961,620.5993000000001,40143.0,620.5974
20,Cer,40:1,H1,622.61328,622.61328,622.6113,622.6151,28940.0,622.613
20,Cer,38:4,k,626.490911,626.490911,626.4886,626.4924,2265.0,626.4906000000001
21,LPC,16:0,H1,496.33975,496.33975,496.3385,496.3419,43646.0,496.3403
21,Cer,36:1,k,604.506541,604.506541,604.5042000000001,604.5083000000001,5945.0,604.5062
21,Cer,40:2,H1,620.5976,620.5976,620.5955,620.5992,37959.0,620.5974
21,Cer,40:1,H1,622.61328,622.61328,622.611,622.6148000000001,28101.0,622.6129000000001
21,Cer,38:4,k,626.490911,626.490911,626.4884000000001,626.4925000000001,1925.0,626.4906000000001
22,LPC,16:0,H1,496.33975,496.33975,496.339,496.3419,47324.0,496.3401
22,Cer,36:1,k,604.506541,604.506541,604.505,604.5087,2158.0,604.5064
